danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.441,0.802,-6.411,0.0305,0.0104,6.19e-05,0.123,0.783,148.02,31FVK7g99Nn15DOY6yYFuT,218356
0.56,0.595,-4.53,0.0274,0.199,6.47e-05,0.132,0.144,104.011,5hnyJvgoWiQUYZttV4wXy6,267960
0.63,0.894,-4.592,0.0544,0.255,0.0,0.181,0.364,142.051,6j7hih15xG2cdYwIJnQXsq,218520
0.64,0.743,-4.08,0.0379,0.269,0.0,0.101,0.361,122.035,5fVZC9GiM4e8vu99W0Xf6J,262533
0.656,0.291,-10.572,0.0293,0.872,0.0,0.114,0.298,103.971,4RCWB3V8V0dignt99LZ8vH,232533
0.651,0.663,-5.569,0.0281,0.228,0.0,0.0994,0.465,102.0,4llK75pXNWZz6KAho2Gp16,259453
0.674,0.778,-5.367,0.0376,0.0469,0.0,0.145,0.816,90.01,4Jz4bjXeiF2SXVj9P4YfY5,189933
0.655,0.819,-4.852,0.0316,0.000176,0.00374,0.104,0.766,117.956,6Z8R6UsFuGXGtiIxiD8ISb,192790
0.685,0.571,-11.623,0.0299,0.335,2.38e-06,0.214,0.869,121.737,5KYoPa5akZxiCn38xelbqI,184173
0.59,0.749,-6.246,0.0345,0.333,2.55e-05,0.0986,0.486,117.982,3VVuTYI50T7t0zznR91LNG,208467
0.671,0.373,-18.064,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,2374M0fQpWi3dLnB54qaLX,295893
0.738,0.983,-4.374,0.0852,0.0376,5.98e-06,0.183,0.957,92.998,383B8ksM58jbV3HbiRJo0K,235760
